segundo,carros_no_frame,estado_semaforo
539,19,green
539,19,green
540,19,green
540,19,green
541,21,green
541,19,green
542,18,green
542,19,green
543,18,green
543,17,green
544,15,green
544,15,green
545,16,green
545,17,green
546,17,green
546,17,green
547,18,green
547,16,green
548,16,green
548,18,green
549,19,green
549,19,green
550,19,green
550,15,green
551,18,green
552,17,green
552,15,green
553,17,green
553,18,green
554,17,green
554,16,green
555,17,green
555,15,green
556,16,green
556,17,green
557,16,green
557,17,green
558,16,green
558,16,green
559,16,green
559,16,green
560,15,green
560,17,green
561,16,green
561,17,green
562,17,green
562,18,green
563,17,green
563,16,green
564,16,green
564,16,green
565,15,green
565,16,green
566,17,green
566,16,green
567,20,green
567,19,green
568,17,green
568,19,green
569,18,green
569,19,green
570,21,green
570,20,green
571,20,green
571,17,green
572,16,green
572,17,green
573,18,green
573,18,green
574,19,green
574,18,green
575,20,green
575,19,green
576,20,green
576,16,green
576,17,green
577,18,green
577,19,green
578,16,green
578,19,green
579,16,green
579,17,green
580,19,green
580,17,green
581,18,green
581,20,green
582,19,green
582,19,green
583,19,green
583,21,green
584,21,green
584,19,green
585,19,green
585,17,green
586,17,green
586,19,green
587,19,green
587,18,green
587,18,green
588,18,green
588,18,green
589,16,green
589,16,green
590,18,green
590,17,green
591,15,green
591,14,green
592,15,green
592,16,green
593,15,green
593,15,green
594,16,green
594,17,green
595,17,green
595,15,green
596,18,green
596,19,green
596,18,green
597,16,green
597,17,green
598,17,green
598,16,green
599,18,green
599,16,green
600,17,green
600,16,green
601,16,green
601,15,green
602,16,green
602,16,green
603,16,green
603,17,green
604,17,green
604,17,green
604,17,green
605,17,green
605,17,green
606,17,green
606,18,green
607,17,green
607,18,green
608,19,green
608,15,green
609,15,green
609,17,green
610,17,green
610,18,green
611,18,green
611,18,green
612,18,green
612,17,green
612,17,green
613,19,green
613,18,green
614,18,green
614,17,green
615,19,green
615,19,green
616,19,green
616,19,green
617,17,green
617,18,green
618,18,green
618,20,green
619,20,green
619,17,green
620,17,green
620,15,green
621,16,green
621,17,green
622,16,green
622,16,green
622,17,green
623,16,green
623,16,green
624,17,green
624,17,green
625,16,green
625,14,green
626,15,green
626,15,green
627,16,green
627,17,green
628,18,green
628,18,green
629,17,green
629,19,green
630,17,green
630,17,green
630,16,green
631,17,green
631,16,green
632,17,green
632,17,green
633,16,green
633,18,green
634,16,green
634,17,green
635,16,green
635,16,green
636,15,green
636,15,green
637,15,green
637,16,green
638,16,green
638,16,green
639,15,green
639,14,green
639,16,green
640,16,green
640,15,green
641,16,green
641,16,green
642,16,green
642,16,green
643,15,green
643,15,green
644,15,green
644,13,green
645,14,green
645,15,green
646,16,green
646,18,green
647,17,green
647,18,green
648,18,green
648,16,green
649,18,green
649,16,green
650,18,green
650,17,green
650,18,green
651,18,green
651,18,green
652,17,green
652,17,green
653,15,green
653,17,green
654,18,green
654,18,green
655,17,green
655,18,green
656,18,green
656,19,green
657,17,green
657,19,green
658,18,green
658,19,green
659,19,green
659,18,green
659,18,green
660,19,green
660,18,green
661,18,green
661,16,green
662,19,green
662,18,green
663,18,green
663,19,green
664,17,green
664,18,green
665,21,green
665,20,green
666,19,green
666,18,green
667,19,green
667,18,green
668,18,green
668,17,green
668,18,green
669,16,green
669,16,green
670,17,green
670,18,green
671,19,green
671,17,green
672,18,green
672,19,green
673,18,green
673,18,green
674,18,green
674,18,green
675,19,green
675,18,green
676,17,green
676,19,green
677,18,green
677,18,green
677,19,green
678,20,green
678,22,green
679,21,green
679,19,green
680,18,green
680,20,green
681,19,green
681,20,green
682,20,green
682,19,green
683,20,green
683,19,green
684,19,green
684,19,green
685,16,green
685,19,green
685,19,green
686,17,green
686,19,green
687,18,green
687,15,green
688,15,green
688,16,green
689,17,green
689,17,green
690,16,green
690,16,green
691,17,green
691,16,green
692,15,green
692,16,green
693,17,green
693,16,green
694,16,green
694,20,green
694,18,green
695,17,green
695,18,green
696,18,green
696,16,green
697,17,green
697,18,green
698,16,green
698,16,green
699,16,green
699,15,green
700,14,green
700,15,green
701,16,green
701,16,green
702,18,green
702,16,green
702,16,green
703,17,green
703,17,green
704,18,green
704,18,green
705,17,green
705,17,green
706,18,green
706,17,green
707,18,green
707,18,green
708,18,green
708,19,green
709,18,green
709,18,green
710,18,green
710,16,green
711,18,green
711,19,green
712,18,green
712,19,green
712,19,green
713,17,green
713,15,green
714,15,green
714,14,green
715,14,green
715,14,green
716,13,green
716,13,green
717,13,green
717,12,green
718,12,green
718,11,green
719,14,green
719,15,green
719,15,green
720,17,green
720,15,green
721,17,green
721,17,green
722,15,green
722,15,green
723,15,green
723,15,green
724,14,green
724,16,green
725,14,green
725,12,green
726,14,green
726,13,green
727,12,green
727,14,green
727,13,green
728,15,green
728,17,green
729,17,green
729,15,green
730,14,green
730,14,green
731,16,green
731,17,green
732,16,green
732,16,green
733,14,green
733,16,green
734,17,green
734,15,green
735,17,green
735,16,green
736,16,green
736,16,green
736,15,green
737,15,green
737,16,green
738,15,green
738,17,green
739,16,green
739,15,green
740,14,green
740,15,green
741,15,green
741,15,green
742,15,green
742,14,green
743,16,green
743,14,green
744,15,green
744,17,green
745,15,green
745,14,green
745,14,green
746,14,green
746,14,green
747,15,green
747,14,green
748,16,green
748,17,green
749,15,green
749,16,green
750,15,green
750,15,green
751,12,green
751,13,green
752,16,green
752,16,green
753,15,green
753,15,green
753,16,green
754,16,green
754,15,green
755,16,green
755,16,green
756,18,green
756,18,green
757,16,green
757,16,green
758,13,green
758,14,green
759,12,green
759,13,green
760,13,green
760,14,green
761,14,green
761,14,green
762,14,green
762,15,green
763,14,green
763,15,green
763,16,green
764,16,green
764,15,green
765,17,green
765,17,green
766,17,green
766,15,green
767,15,green
767,15,green
768,16,green
768,14,green
769,15,green
769,14,green
770,14,green
770,15,green
771,16,green
771,14,green
772,14,green
772,17,green
773,17,green
773,13,green
774,15,green
774,16,green
774,16,green
775,17,green
775,16,green
776,19,green
776,17,green
777,15,green
777,16,green
778,16,green
778,16,green
779,15,green
779,16,green
780,15,green
780,16,green
781,18,green
781,17,green
782,17,green
782,15,green
783,15,green
783,14,green
783,17,green
784,18,green
784,16,green
785,15,green
785,15,green
786,17,green
786,16,green
787,16,green
787,16,green
788,17,green
788,19,green
789,18,green
789,19,green
790,21,green
790,19,green
791,20,green
791,19,green
792,16,green
792,19,green
792,15,green
793,17,green
793,18,green
794,16,green
794,18,green
795,17,green
795,19,green
796,20,green
796,18,green
797,18,green
797,20,green
798,20,green
798,19,green
799,19,green
799,20,green
800,19,green
800,20,green
801,16,green
801,17,green
801,18,green
802,19,green
802,16,green
803,16,green
803,18,green
804,16,green
804,16,green
805,17,green
805,18,green
806,18,green
806,18,green
807,17,green
807,18,green
808,17,green
808,15,green
809,17,green
809,18,green
810,19,green
810,20,green
810,20,green
811,19,green
811,20,green
812,22,green
812,22,green
813,21,green
813,21,green
814,21,green
814,22,green
815,21,green
815,21,green
816,22,green
816,23,green
817,21,green
817,20,green
818,20,green
818,19,green
819,20,green
819,20,green
819,20,green
820,19,green
820,20,green
821,21,green
821,20,green
822,18,green
822,21,green
823,20,green
823,22,green
824,19,green
824,21,green
825,21,green
825,19,green
826,20,green
826,18,green
827,21,green
827,23,green
828,21,green
828,19,green
829,24,green
829,20,green
830,21,green
830,18,green
831,18,green
831,19,green
832,19,green
832,20,green
832,18,green
833,17,green
833,16,green
834,19,green
834,22,green
835,21,green
835,20,green
836,20,green
836,21,green
837,20,green
837,18,green
838,18,green
838,19,green
839,21,green
839,21,green
840,20,green
840,21,green
841,19,green
841,21,green
842,19,green
842,20,green
842,21,green
843,23,green
843,22,green
844,22,green
844,18,green
845,19,green
845,17,green
846,22,green
846,23,green
847,21,green
847,19,green
848,16,green
848,18,green
849,20,green
849,20,green
850,20,green
850,22,green
851,21,green
851,19,green
852,21,green
852,19,green
852,20,green
853,20,green
853,19,green
854,21,green
854,19,green
855,20,green
855,18,green
856,18,green
856,19,green
857,18,green
857,20,green
858,22,green
858,22,green
859,20,green
859,21,green
860,22,green
860,19,green
861,20,green
861,22,green
862,21,green
862,20,green
863,20,green
863,17,green
864,17,green
864,22,green
865,21,green
865,22,green
866,20,green
866,20,green
867,20,green
867,20,green
868,23,green
868,19,green
868,21,green
869,21,green
869,20,green
870,20,green
870,19,green
871,18,green
871,18,green
872,19,green
872,19,green
873,19,green
873,19,green
874,19,green
874,19,green
875,18,green
875,19,green
876,20,green
876,20,green
876,19,green
877,20,green
877,19,green
878,19,green
878,19,green
879,20,green
879,21,green
880,24,green
880,22,green
881,21,green
881,23,green
882,23,green
882,24,green
883,22,green
883,23,green
884,25,green
884,24,green
885,22,green
885,21,green
886,25,green
886,28,green
887,26,green
887,23,green
888,26,green
888,26,green
888,26,green
889,22,green
889,24,green
890,25,green
890,25,green
891,24,green
891,25,green
892,25,green
892,24,green
893,23,green
893,22,green
894,23,green
894,23,green
895,20,green
895,20,green
896,23,green
896,22,green
897,20,green
897,24,green
897,18,green
898,21,green
898,20,green
899,19,green
899,20,green
900,23,green
900,23,green
901,22,green
901,24,green
902,21,green
902,19,green
903,21,green
903,22,green
904,22,green
904,23,green
905,22,green
905,23,green
906,22,green
906,20,green
906,24,green
907,21,green
907,26,green
908,20,green
908,23,green
909,25,green
909,24,green
910,24,green
910,22,green
911,22,green
911,23,green
912,22,green
912,23,green
913,22,green
913,20,green
914,19,green
914,20,green
915,21,green
915,22,green
915,22,green
916,21,green
916,23,green
917,22,green
917,22,green
918,20,green
918,22,green
919,20,green
919,21,green
920,20,green
920,23,green
921,23,green
921,24,green
922,24,green
922,21,green
923,21,green
923,22,green
924,20,green
924,22,green
925,19,green
925,21,green
925,23,green
926,21,green
926,22,green
927,22,green
927,22,green
928,20,green
928,23,green
929,22,green
929,20,green
930,20,green
930,21,green
931,21,green
931,21,green
932,22,green
932,22,green
933,19,green
933,21,green
934,22,green
934,24,green
934,22,green
935,20,green
935,23,green
936,22,green
936,19,green
937,19,green
937,20,green
938,20,green
938,21,green
939,22,green
939,22,green
940,22,green
940,21,green
941,23,green
941,21,green
942,22,green
942,22,green
943,20,green
943,23,green
943,23,green
944,24,green
944,23,green
945,22,green
945,20,green
946,20,green
946,20,green
947,18,green
947,17,green
948,18,green
948,17,green
949,18,green
949,18,green
950,17,green
950,19,green
951,20,green
951,19,green
952,16,green
952,17,green
953,18,green
953,18,green
954,17,green
954,20,green
955,19,green
955,18,green
955,17,green
956,21,green
956,21,green
957,19,green
957,20,green
958,20,green
958,21,green
959,20,green
959,20,green
960,20,green
960,18,green
961,21,green
961,18,green
962,16,green
962,18,green
963,18,green
963,19,green
964,21,green
964,18,green
964,19,green
965,17,green
965,15,green
966,15,green
966,17,green
967,13,green
967,16,green
968,14,green
968,15,green
969,16,green
969,15,green
970,16,green
970,16,green
971,15,green
971,15,green
972,14,green
972,15,green
973,14,green
973,16,green
973,16,green
974,15,green
974,16,green
975,17,green
975,17,green
976,16,green
976,15,green
977,17,green
977,18,green
978,18,green
978,18,green
979,18,green
979,19,green
980,18,green
980,20,green
981,19,green
981,17,green
982,17,green
982,19,green
982,19,green
983,19,green
983,19,green
984,19,green
984,18,green
985,17,green
985,16,green
986,16,green
986,17,green
987,16,green
987,17,green
988,18,green
988,17,green
989,18,green
989,16,green
990,17,green
990,18,green
991,18,green
991,17,green
991,18,green
992,17,green
992,19,green
993,17,green
993,17,green
994,17,green
994,15,green
995,16,green
995,15,green
996,16,green
996,18,green
997,16,green
997,18,green
998,17,green
998,16,green
999,18,green
999,15,green
1000,18,green
1000,16,green
1000,16,green
1001,16,green
1001,16,green
1002,16,green
1002,15,green
1003,16,green
1003,18,green
1004,17,green
1004,16,green
1005,15,green
1005,16,green
1006,18,green
